sclk,File_name,Target_plan,SiO2,SiO2_RMSEP,SiO2_shots_stdev,TiO2,TiO2_RMSEP,TiO2_shots_stdev,Al2O3,Al2O3_RMSEP,Al2O3_shots_stdev,FeOT,FeOT_RMSEP,FeOT_shots_stdev,MgO,MgO_RMSEP,MgO_shots_stdev,CaO,CaO_RMSEP,CaO_shots_stdev,Na2O,Na2O_RMSEP,Na2O_shots_stdev,K2O,K2O_RMSEP,K2O_shots_stdev,Sum_of_Oxides,Spectrum_Total
425562882,CL5_425562882CCS_F0060704CCAM04316P3.SAV,Mary_River,36.899055,5.9120579,1.7152,6.3634183,2.8699503,0.031211404,3.8900377,2.8947961,0.23,10.472643,2.7301321,1.955,3.6133865,1.706214,0.59,2.7608161,1.1355652,0.4,0.81197806,0.50288117,0.4,0.15221663,0.54270434,0.4,64.963551,1.40E+15
425562948,CL5_425562948CCS_F0060704CCAM04316P3.SAV,Mary_River,33.361027,6.4483562,1.3175,5.6750306,2.5440426,0.311838113,1.6817817,2.6491032,0.35,19.290446,4.1093674,0.875,4.204112,1.766475,0.905,1.9786383,0.99801743,0.3,0.7586056,0.486316,0.3,0.15399579,0.54270434,0.3,67.103638,1.43E+15
425563014,CL5_425563014CCS_F0060704CCAM04316P3.SAV,Mary_River,30.430622,6.812572,1.7175,11.532215,5.3478031,0.576571842,0.36976722,2.5553856,0.33,11.955971,2.9504929,0.76,3.1738608,1.663973,1.51,2.9709051,1.1784592,0.3,0.87258637,0.5222016,0.3,0.15992206,0.54545432,0.3,61.465849,1.61E+15
425563136,CL5_425563136CCS_F0060704CCAM04316P3.SAV,Mary_River,17.317353,6.913321,1.3198,9.7688187,4.5042787,0.967808508,0,2.53597,0.9,8.4186005,2.4344735,1.575,6.3880104,2.0294933,1.53,2.9898255,1.1826489,0.4,0.71770749,0.47288975,0.4,0.14814489,0.54270434,0.4,45.74846,3.04E+15
425563202,CL5_425563202CCS_F0060704CCAM04316P3.SAV,Mary_River,23.823511,7.1194377,1.7198,10.129858,4.6768174,0.87698125,0,2.53597,0.6,8.7146833,2.4747565,1.955,6.4926736,2.0430737,0.795,4.4288763,1.5337433,0.2,0.74737302,0.482997,0.2,0.16128983,0.54545432,0.2,54.498265,2.85E+15
425563268,CL5_425563268CCS_F0060704CCAM04316P3.SAV,Mary_River,31.501798,6.6937046,1.3221,5.8046569,2.6015553,0.701750481,0,2.53597,0.88,9.7688992,2.6268957,0.76,5.8314802,1.9557029,0.89,3.9494043,1.4069761,0.2,0.52582703,0.40902838,0.2,0.15026434,0.54270434,0.2,57.53233,2.94E+15
547960412,CL5_547960412CCS_F0630346CCAM01695P1.SAV,Mason_Point_ccam,26.539945,7.084208,1.7221,8.3260205,3.814122,0.293423532,0,2.53597,0.78,8.6343243,2.4636397,0.59,5.6322455,1.9302425,0.945,4.5119123,1.5558589,0.5,0.71731213,0.47288975,0.5,0.15502507,0.54545432,0.5,54.516785,2.63E+15
547960488,CL5_547960488CCS_F0630346CCAM01695P1.SAV,Mason_Point_ccam,38.678344,5.6455636,1.3244,5.8923648,2.6446905,0.67680336,0,2.53597,0.44,10.394521,2.7182853,1.66,5.4345693,1.9058187,0.56,3.7225434,1.3490492,0.1,0.58044241,0.42562151,0.1,0.14792985,0.54270434,0.1,64.850715,2.76E+15
547960553,CL5_547960553CCS_F0630346CCAM01695P1.SAV,Mason_Point_ccam,11.007895,6.7307024,1.7244,10.807845,5.0027246,0.992039596,0,2.53597,0.8,14.988762,3.3898971,0.615,5.8762781,1.9621103,0.945,4.3816305,1.5200636,0.3,0.95671444,0.54957461,0.3,0.16441563,0.54545432,0.3,48.183541,2.53E+15
547960654,CL5_547960654CCS_F0630346CCAM01695P1.SAV,Mason_Point_ccam,26.241094,7.0931067,1.3267,10.433613,4.8206005,0.715786694,0.000623024,2.53597,0.23,14.005467,3.2460804,1.895,6.0765133,1.98785,0.545,3.8811798,1.38915,4.6,0.94283443,0.54367214,4.6,0.16550961,0.5483681,4.6,61.746834,2.41E+15
547960720,CL5_547960720CCS_F0630346CCAM01695P1.SAV,Mason_Point_ccam,23.344832,7.11552,1.7267,9.0325747,4.1496143,0.597219162,0.13058552,2.5426438,0.47,19.674337,4.1702642,0.76,5.6208326,1.9290214,1.88,3.90553,1.3967897,0.4,0.90948024,0.53463358,0.4,0.15926298,0.54545432,0.4,62.777435,2.41E+15
